Symbol,NSE_Code,Total_Setups,Base_Success_Rate,Gap_Down_Setups,Gap_Down_Success_Rate,Avg_Profit_When_Works,Improvement
Coal India,COALINDIA.NS,100,57.99999999999999,17,100.0,-0.7596750837555596,42.00000000000001
Divi's Labs,DIVISLAB.NS,111,71.17117117117117,26,100.0,-0.709543854315161,28.828828828828833
ITC,ITC.NS,107,59.813084112149525,20,100.0,-0.5164631412696595,40.186915887850475
Bharti Airtel,BHARTIARTL.NS,108,63.888888888888886,41,97.5609756097561,-0.5871071576015048,33.67208672086721
Reliance,RELIANCE.NS,107,68.22429906542055,35,97.14285714285714,-0.5483608288880991,28.918558077436586
Asian Paints,ASIANPAINT.NS,110,61.81818181818181,29,96.55172413793103,-0.6151149219909468,34.73354231974922
Titan,TITAN.NS,111,59.45945945945946,28,96.42857142857143,-0.6059575149400231,36.96911196911197
NIFTY 50,^NSEI,110,61.81818181818181,22,95.45454545454545,-0.2735927308306777,33.63636363636364
Tata Steel,TATASTEEL.NS,102,53.92156862745098,19,94.73684210526315,-0.8163164292046438,40.81527347781217
Axis Bank,AXISBANK.NS,120,59.166666666666664,37,94.5945945945946,-0.6413946103236405,35.42792792792793
TCS,TCS.NS,110,60.909090909090914,37,94.5945945945946,-0.500477846621069,33.68550368550368
M&M,M&M.NS,111,62.16216216216216,34,94.11764705882352,-0.5694706376005364,31.95548489666136
Bajaj Auto,BAJAJ-AUTO.NS,109,54.12844036697248,17,94.11764705882352,-0.5258180814730459,39.989206691851045
Cipla,CIPLA.NS,117,60.68376068376068,17,94.11764705882352,-0.582662770146836,33.43388637506284
Infosys,INFY.NS,114,60.526315789473685,33,93.93939393939394,-0.5524215445070845,33.41307814992025
BANK NIFTY,^NSEBANK,113,61.06194690265486,30,93.33333333333333,-0.42135044371844116,32.27138643067847
L&T,LT.NS,104,61.53846153846154,28,92.85714285714286,-0.5775908468103678,31.31868131868132
UltraTech Cement,ULTRACEMCO.NS,108,70.37037037037037,28,92.85714285714286,-0.6563222647809415,22.486772486772495
Bajaj Finserv,BAJAJFINSV.NS,113,55.75221238938053,26,92.3076923076923,-0.6397522879796046,36.555479918311775
Eicher Motors,EICHERMOT.NS,108,65.74074074074075,26,92.3076923076923,-0.6883458658466538,26.56695156695156
HDFC Bank,HDFCBANK.NS,122,62.295081967213115,38,92.10526315789474,-0.5157476558976363,29.810181190681625
Hindalco,HINDALCO.NS,108,56.481481481481474,33,90.9090909090909,-0.8386591502715177,34.42760942760943
JSW Steel,JSWSTEEL.NS,102,52.94117647058824,33,90.9090909090909,-0.9406817058208475,37.96791443850267
ICICI Bank,ICICIBANK.NS,114,57.01754385964912,32,90.625,-0.5238599739839634,33.60745614035088
BPCL,BPCL.NS,117,64.95726495726495,21,90.47619047619048,-0.7531801523953234,25.518925518925528
SBI,SBIN.NS,101,54.45544554455446,21,90.47619047619048,-0.5480426165570049,36.020744931636024
Grasim,GRASIM.NS,106,66.0377358490566,31,90.32258064516128,-0.6306798048901613,24.28484479610468
IndusInd Bank,INDUSINDBK.NS,119,60.50420168067227,36,88.88888888888889,-0.8062444855300674,28.38468720821662
Wipro,WIPRO.NS,117,52.991452991452995,25,88.0,-0.5125103221591495,35.008547008547005
Dr Reddy,DRREDDY.NS,114,64.03508771929825,21,85.71428571428571,-0.6505101185605235,21.67919799498746
Power Grid,POWERGRID.NS,118,52.54237288135594,28,85.71428571428571,-0.7347190768695927,33.17191283292977
Adani Ports,ADANIPORTS.NS,115,61.73913043478261,34,85.29411764705883,-0.8490071883551896,23.554987212276217
Sun Pharma,SUNPHARMA.NS,111,54.95495495495496,34,85.29411764705883,-0.6564300799648949,30.33916269210387
Maruti Suzuki,MARUTI.NS,110,65.45454545454545,27,85.18518518518519,-0.5573371735474404,19.730639730639737
ONGC,ONGC.NS,97,52.57731958762887,20,85.0,-0.8491355140758435,32.42268041237113
HDFC Life,HDFCLIFE.NS,115,68.69565217391305,32,84.375,-0.5982003175240601,15.679347826086953
Shriram Finance,SHRIRAMFIN.NS,109,52.293577981651374,25,84.0,-0.7353092233011121,31.706422018348626
Tech Mahindra,TECHM.NS,111,49.549549549549546,25,84.0,-0.6868576115954508,34.450450450450454
HCL Tech,HCLTECH.NS,112,55.35714285714286,25,84.0,-0.6389305062781684,28.64285714285714
SBI Life,SBILIFE.NS,104,55.769230769230774,29,82.75862068965517,-0.6501677881586674,26.9893899204244
Bajaj Finance,BAJFINANCE.NS,118,60.16949152542372,32,81.25,-0.695653290558772,21.080508474576277
NTPC,NTPC.NS,119,52.94117647058824,25,80.0,-0.657120234724949,27.05882352941176
Nestle India,NESTLEIND.NS,119,57.98319327731093,18,77.77777777777779,-0.5355397114596425,19.794584500466854
Kotak Bank,KOTAKBANK.NS,112,58.92857142857143,36,77.77777777777779,-0.6023275394811167,18.849206349206355
Britannia,BRITANNIA.NS,106,60.37735849056604,21,76.19047619047619,-0.6023321879768992,15.813117699910151
Hero MotoCorp,HEROMOTOCO.NS,104,50.96153846153846,27,74.07407407407408,-0.6998433204790548,23.112535612535616
Tata Consumer,TATACONSUM.NS,118,59.32203389830508,33,72.72727272727273,-0.6249685444122692,13.405238828967654
Hindustan Unilever,HINDUNILVR.NS,120,59.166666666666664,27,70.37037037037037,-0.5122291801803786,11.203703703703702
